Index,Direction,Datetime,Date
41360,Entry,2023-01-25 11:02:24,2023-01-25
40949,Entry,2023-01-25 11:02:48,2023-01-25
56561,Exit,2023-01-25 11:02:49,2023-01-25
11750,Entry,2023-01-25 11:02:52,2023-01-25
22500,Entry,2023-01-25 11:02:56,2023-01-25
958,Entry,2023-01-25 11:03:08,2023-01-25
41252,Entry,2023-01-25 11:03:18,2023-01-25
12285,Entry,2023-01-25 11:03:24,2023-01-25
840,Entry,2023-01-25 11:03:24,2023-01-25
81166,Exit,2023-01-25 11:03:44,2023-01-25
67168,Exit,2023-01-25 11:04:39,2023-01-25
45054,Exit,2023-01-25 11:04:48,2023-01-25
75439,Exit,2023-01-25 11:04:51,2023-01-25
45350,Exit,2023-01-25 11:04:55,2023-01-25
56547,Exit,2023-01-25 11:05:01,2023-01-25
30820,Entry,2023-01-25 11:05:08,2023-01-25
45705,Exit,2023-01-25 11:05:08,2023-01-25
72395,Exit,2023-01-25 11:05:22,2023-01-25
36294,Entry,2023-01-25 11:05:32,2023-01-25
44959,Exit,2023-01-25 11:05:34,2023-01-25
1769,Entry,2023-01-25 11:05:50,2023-01-25
13791,Entry,2023-01-25 11:06:20,2023-01-25
12289,Entry,2023-01-25 11:06:51,2023-01-25
36435,Entry,2023-01-25 11:07:12,2023-01-25
308,Entry,2023-01-25 11:07:38,2023-01-25
30681,Entry,2023-01-25 11:07:47,2023-01-25
30822,Entry,2023-01-25 11:07:50,2023-01-25
22483,Entry,2023-01-25 11:07:57,2023-01-25
45277,Exit,2023-01-25 11:08:23,2023-01-25
56911,Exit,2023-01-25 11:08:27,2023-01-25
85502,Exit,2023-01-25 11:09:19,2023-01-25
12298,Entry,2023-01-25 11:09:34,2023-01-25
45192,Exit,2023-01-25 11:09:59,2023-01-25
45085,Exit,2023-01-25 11:10:41,2023-01-25
45707,Exit,2023-01-25 11:11:07,2023-01-25
45342,Exit,2023-01-25 11:11:58,2023-01-25
22290,Entry,2023-01-25 11:12:07,2023-01-25
36769,Entry,2023-01-25 11:13:11,2023-01-25
81041,Exit,2023-01-25 11:13:21,2023-01-25
36965,Entry,2023-01-25 11:13:34,2023-01-25
85682,Exit,2023-01-25 11:13:37,2023-01-25
36389,Entry,2023-01-25 11:13:55,2023-01-25
66860,Exit,2023-01-25 11:14:13,2023-01-25
29480,Entry,2023-01-25 11:14:13,2023-01-25
30776,Entry,2023-01-25 11:14:28,2023-01-25
80877,Exit,2023-01-25 11:14:31,2023-01-25
56310,Exit,2023-01-25 11:14:47,2023-01-25
45352,Exit,2023-01-25 11:14:54,2023-01-25
56497,Exit,2023-01-25 11:15:27,2023-01-25
67175,Exit,2023-01-25 11:16:13,2023-01-25
30839,Entry,2023-01-25 11:16:13,2023-01-25
12316,Entry,2023-01-25 11:16:42,2023-01-25
45228,Exit,2023-01-25 11:16:43,2023-01-25
604,Entry,2023-01-25 11:16:53,2023-01-25
22610,Entry,2023-01-25 11:17:38,2023-01-25
36399,Entry,2023-01-25 11:17:57,2023-01-25
27649,Entry,2023-01-25 11:18:02,2023-01-25
23744,Entry,2023-01-25 11:18:02,2023-01-25
66714,Exit,2023-01-25 11:18:08,2023-01-25
36593,Entry,2023-01-25 11:18:21,2023-01-25
22430,Entry,2023-01-25 11:18:24,2023-01-25
44893,Exit,2023-01-25 11:18:28,2023-01-25
56877,Exit,2023-01-25 11:18:40,2023-01-25
45713,Exit,2023-01-25 11:18:46,2023-01-25
81113,Exit,2023-01-25 11:19:22,2023-01-25
43440,Entry,2023-01-25 11:19:22,2023-01-25
45351,Exit,2023-01-25 11:19:23,2023-01-25
62999,Exit,2023-01-25 11:19:30,2023-01-25
12324,Entry,2023-01-25 11:19:32,2023-01-25
52386,Exit,2023-01-25 11:19:40,2023-01-25
12332,Entry,2023-01-25 11:19:51,2023-01-25
75571,Exit,2023-01-25 11:19:59,2023-01-25
57031,Exit,2023-01-25 11:20:01,2023-01-25
1011,Entry,2023-01-25 11:20:09,2023-01-25
57081,Exit,2023-01-25 11:20:14,2023-01-25
12036,Entry,2023-01-25 11:20:18,2023-01-25
12337,Entry,2023-01-25 11:20:25,2023-01-25
57099,Exit,2023-01-25 11:20:29,2023-01-25
81169,Exit,2023-01-25 11:20:30,2023-01-25
81174,Exit,2023-01-25 11:20:41,2023-01-25
56676,Exit,2023-01-25 11:21:15,2023-01-25
81182,Exit,2023-01-25 11:21:27,2023-01-25
22431,Entry,2023-01-25 11:21:35,2023-01-25
30825,Entry,2023-01-25 11:21:50,2023-01-25
88186,Exit,2023-01-25 11:22:09,2023-01-25
45762,Exit,2023-01-25 11:22:18,2023-01-25
57101,Exit,2023-01-25 11:22:27,2023-01-25
13811,Entry,2023-01-25 11:22:29,2023-01-25
1082,Entry,2023-01-25 11:22:37,2023-01-25
12371,Entry,2023-01-25 11:22:40,2023-01-25
1016,Entry,2023-01-25 11:22:53,2023-01-25
66824,Exit,2023-01-25 11:23:05,2023-01-25
12373,Entry,2023-01-25 11:23:05,2023-01-25
22438,Entry,2023-01-25 11:23:17,2023-01-25
30828,Entry,2023-01-25 11:23:32,2023-01-25
85614,Exit,2023-01-25 11:23:40,2023-01-25
30837,Entry,2023-01-25 11:23:47,2023-01-25
36442,Entry,2023-01-25 11:25:27,2023-01-25
22048,Entry,2023-01-25 11:26:01,2023-01-25
12187,Entry,2023-01-25 11:26:19,2023-01-25
43455,Entry,2023-01-25 11:26:40,2023-01-25
12395,Entry,2023-01-25 11:26:53,2023-01-25
11958,Entry,2023-01-25 11:26:57,2023-01-25
12074,Entry,2023-01-25 11:27:00,2023-01-25
22444,Entry,2023-01-25 11:27:06,2023-01-25
959,Entry,2023-01-25 11:27:13,2023-01-25
57120,Exit,2023-01-25 11:27:26,2023-01-25
43470,Entry,2023-01-25 11:27:41,2023-01-25
45818,Exit,2023-01-25 11:27:42,2023-01-25
57161,Exit,2023-01-25 11:27:47,2023-01-25
45829,Exit,2023-01-25 11:27:54,2023-01-25
45763,Exit,2023-01-25 11:28:08,2023-01-25
75569,Exit,2023-01-25 11:28:48,2023-01-25
80996,Exit,2023-01-25 11:28:55,2023-01-25
1093,Entry,2023-01-25 11:29:18,2023-01-25
81146,Exit,2023-01-25 11:29:22,2023-01-25
22469,Entry,2023-01-25 11:29:30,2023-01-25
12462,Entry,2023-01-25 11:29:38,2023-01-25
45758,Exit,2023-01-25 11:29:45,2023-01-25
